Year,State,Type,Value,PJ
2017,Tasmania,Non-Renewable,10740.248,38.6648928
2017,Northern Territory,Renewable,3384.935,12.185766
2017,Northern Territory,Non-Renewable,124.885,0.449586
2018,New South Wales,Renewable,11142.976,40.1147136
2018,New South Wales,Non-Renewable,60417.819,217.5041484
2018,Victoria,Renewable,10662.035,38.383326
2018,Victoria,Non-Renewable,38033.936,136.9221696
2018,Queensland,Renewable,7611.353,27.4008708
2018,Queensland,Non-Renewable,63055.133,226.9984788
2018,Western Australia,Renewable,3760.709,13.5385524
2018,Western Australia,Non-Renewable,38150.129,137.3404644
2018,South Australia,Renewable,7528.675,27.10323
2018,South Australia,Non-Renewable,7408.831,26.6717916
2018,Tasmania,Renewable,639.056,2.3006016
2018,Tasmania,Non-Renewable,11158.569,40.1708484
2018,Northern Territory,Renewable,4298.205,15.473538
2018,Northern Territory,Non-Renewable,159.32,0.573552
2019,New South Wales,Renewable,13289.838,47.8434168
2019,New South Wales,Non-Renewable,56774.898,204.3896328
2019,Victoria,Renewable,12016.336,43.2588096
2019,Victoria,Non-Renewable,36980.565,133.130034
2019,Queensland,Renewable,10236.245,36.850482
2019,Queensland,Non-Renewable,60766.756,218.7603216
2019,Western Australia,Renewable,4450.522,16.0218792
2019,Western Australia,Non-Renewable,38945.516,140.2038576
2019,South Australia,Renewable,8266.039,29.7577404
2019,South Australia,Non-Renewable,6773.406,24.3842616
2019,Tasmania,Renewable,217.312,0.7823232
2019,Tasmania,Non-Renewable,11461.179,41.2602444
2019,Northern Territory,Renewable,4789.404,17.2418544
2019,Northern Territory,Non-Renewable,210.183,0.7566588
2020,New South Wales,Renewable,17128.232,61.6616352
2020,New South Wales,Non-Renewable,53034.595,190.924542
2020,Victoria,Renewable,15293.467,55.0564812
2020,Victoria,Non-Renewable,36196.013,130.3056468
2020,Queensland,Renewable,12607.874,45.3883464
2020,Queensland,Non-Renewable,57607.532,207.3871152
2020,Western Australia,Renewable,6164.277,22.1913972
2020,Western Australia,Non-Renewable,37351.004,134.4636144
2020,South Australia,Renewable,8977.631,32.3194716
2020,South Australia,Non-Renewable,5715.687,20.5764732
2020,Tasmania,Renewable,205.966,0.7414776
2020,Tasmania,Non-Renewable,10370.566,37.3340376
2020,Northern Territory,Renewable,4645.465,16.723674
2020,Northern Territory,Non-Renewable,256.144,0.9221184
